600	477	565	556
601	499	396	566
602	529	559	586
603	540	442	582
604	481	618	590
605	536	487	545
606	532	549	582
607	534	480	557
608	494	487	565
609	530	504	599
610	490	562	567
611	575	533	582
612	558	637	589
613	541	502	569
614	564	579	577
615	522	502	554
616	481	515	562
617	515	467	572
618	551	470	606
619	511	514	569
620	483	521	557
621	493	475	563
622	543	498	604
623	513	423	561
624	454	407	572
625	473	451	573
626	499	494	565
627	564	523	579
628	556	497	594
629	530	561	587
630	553	531	617
631	576	550	585
632	490	477	586
633	523	477	573
634	535	485	590
635	560	587	586
636	585	555	580
637	476	553	546
638	563	533	584
639	521	521	574
640	506	419	605
641	534	527	565
642	446	444	555
643	538	563	571
644	506	552	576
645	518	524	576
646	522	551	592
647	527	520	568
648	506	554	564
649	542	462	597
650	548	528	609
651	565	550	598
652	600	536	611
653	529	632	584
654	568	528	610
655	521	581	564
656	533	370	617
657	481	503	576
658	501	556	590
659	578	525	599
660	501	503	594
661	505	505	573
662	503	439	599
663	454	527	537
664	536	390	590
665	475	471	557
666	556	441	617
667	538	537	585
668	538	577	603
669	514	553	584
670	546	527	609
671	530	521	586
672	568	546	604
673	565	484	570
674	615	564	604
675	539	474	584
676	541	543	586
677	481	528	548
678	517	520	593
679	491	510	556
680	502	522	553
681	515	421	560
682	503	490	595
683	479	502	558
684	567	550	595
685	520	566	580
686	565	611	606
687	631	515	583
688	573	591	585
689	518	545	565
690	512	563	571
691	559	616	585
692	629	589	597
693	529	559	556
694	602	652	585
695	539	556	562
696	507	624	559
697	483	436	564
698	499	504	587
699	458	569	569
700	541	536	598
701	544	595	583
702	567	579	601
703	554	507	562
704	562	493	582
705	479	483	560
706	508	473	550
707	511	572	566
708	549	570	582
709	467	638	539
710	554	556	575
711	486	655	561
712	580	451	564
713	499	559	574
714	533	502	589
715	468	571	581
716	509	528	596
717	530	634	581
718	531	593	581
719	487	571	586
720	546	435	586
721	477	508	570
722	420	413	542
723	516	571	571
724	518	464	573
725	531	668	573
726	547	549	572
727	417	686	544
728	513	510	560
729	526	532	565
730	527	566	582
731	492	547	581
732	537	552	575
733	508	673	578
734	543	578	580
735	520	652	579
736	548	470	583
737	462	588	562
738	460	368	555
739	508	543	580
740	435	507	537
741	428	587	560
742	473	599	548
743	487	564	582
744	436	562	547
745	484	485	585
746	483	499	565
747	502	502	592
748	496	511	577
749	537	569	610
750	462	542	572
751	497	614	588
752	463	535	567
753	448	486	581
754	456	539	538
755	498	472	573
756	492	542	554
757	420	477	568
758	443	557	570
759	500	490	580
760	501	461	573
761	417	494	560
762	489	475	565
763	457	360	586
764	431	466	560
765	440	466	561
766	499	622	566
767	513	512	587
768	447	537	537
769	466	469	570
770	390	520	558
771	468	471	586
772	485	489	579
773	489	532	584
774	453	565	575
775	512	559	596
776	447	555	551
777	504	441	575
778	442	510	548
779	436	377	586
780	411	467	585
781	439	523	567
782	546	504	586
783	497	568	559
784	523	471	571
785	486	401	574
786	364	398	556
787	471	458	587
788	444	498	575
789	451	500	589
790	492	608	595
791	454	560	571
792	438	527	560
793	446	494	591
794	475	427	584
795	449	488	599
796	395	388	557
797	456	588	601
798	462	527	591
799	468	565	622
800	460	436	582
801	426	428	584
